'LINC17/L41031','ADMINISTRACIÓN DE RECURSOS INFORMÁTICOS'
'LINC18/L41038','ARQUITECTURA DE COMPUTADORAS'
'LINC18/L410','A8RQUITECTURA DE COMPUTADORAS'
'LINC20/L41061','BASES DE DATOS I / FUNDAMENTOS DE BASES DE DATOS'
'LINC21/L41062','BASES DE DATOS II / BASES DE DATOS AVANZADAS'
'LINC22/L41034','CIRCUITOS ELÉCTRICOS Y ELECTRÓNICOS/CIRCUITOSELECTRICOS'
'LINC23/L41048','COMPILADORES'
'LINC06/L41019','COMUNICACION Y RELACIONES HUMANAS'
'LINC09/L41021','ELECTROMAGNETISMO / ELECTRICIDAD Y MAGNETISMO'
'LINC24/L41046','ENSAMBLADORES'
'LINC11/L41020','FÍSICA / FISICA BÁSICA'
'LINC26/L41008','INGENIERÍA DE SOFTWARE I/ANALISIS DE SISTEMAS'
'LINC27/L41009','INGENIERÍA DE SOFTWARE II / DISEÑO DE SISTEMAS'
'LINC28/L41066','INTELIGENCIA ARTIFICIAL/SISTEMAS EXPERTOS'
'L41004/L41004','INVESTIGACION DE OPERACIONES'
'L41004/AL41004','INVESTIGACION DE OPERACIONES'
'LINC13','MATEMÁTICAS DISCRETAS'
'LINC30','MÉTODOS ESTADÍSTICOS'
'LINC32','PARADIGMAS DE PROGRAMACIÓN I'
'LINC33/L41057','PARADIGMAS DE PROGRAMACIÓN II / PROGRAMACIONPARALELA Y DISTRIBUIDA'
'LINC34/L41005','PROCESAMIENTO DE IMÁGENES DIGITALES /TRATAMIENTO DE IMÁGENES'
'LINC15','PROGRAMACIÓN I'
'LINC35','PROGRAMACIÓN II'
'LINC36/L41041','PROTOCOLOS DE COMUNICACIÓN DE DATOS /PROTOCOLOS DE RED'
'LINC39','SISTEMAS ANALÓGICOS'
'LINC42/L41040','TRANSMISION DE DATOS'
'L41069','ADMINISTRACION'
'L41074','ADMINISTRACION DE PROYECTOS INFORMATICOS'
'L41042','ADMINISTRACION DE REDES'
'L41051','ADMINISTRACION Y SEGURIDAD DE SISTEMAS OPERATIVOS'
'L41085','ALGORITMOS GENETICOS'
'L41089','ANALISIS DE LENGUAJES DE PROGRAMACION'
'L41043','ANALISIS Y DISEÑO DE REDES'
'L41080','AUDITORIA DE REDES'
'L41073','AUDITORIA INFORMATICA'
'L41032','AUTÓMATAS Y LENGUAJES FORMALES'
'L41094','DESARROLLO MULTIMEDIA'
'L41006','ECONOMIA'
'L41035','ELECTRONICA ANALOGICA'
'L41088','ELECTRONICA DIGITAL'
'L41077','ESTANDARES DE CALIDAD'
'L41028','ETICA'
'L41075','FORMACION DE LIDERES'
'L41067','FUNDAMENTOS DE ROBOTICA'
'L41064','GRAFICACION'
'L41070','INSTALACION CONFIGURACION Y COMUNICACION DE SISTE'
'L41078','INSTALACIONES Y EQUIPOS'
'L41068','INTERACCION HOMBRE-MAQUINA'
'L41082','INTERCONEXION DE REDES'
'L41072','LEGISLACION INFORMATICA'
'L41090','LENGUAJE DE PROGRAMACION ESTRUCTURADO'
'L41091','LENGUAJE DE PROGRAMACION VISUAL'
'L41047','LENGUAJE ENSAMBLADOR'
'L41065','LÓGICA'
'L41036','LOGICA SECUENCIAL Y COMBINATORIA'
'L41017','METODOLOGIA DE LA INVESTIGACION'
'L41076','METRICAS DE SOFTWARE'
'L41039','METROLOGIA'
'L41093','MINERIA DE DATOS'
'L41045','MODELOS DE REDES'
'L41083','MULTIMEDIA'
'L41055','ORGANIZACION DE ARCHIVOS'
'L41053','PROGRAMACION AVANZADA'
'L41056','PROGRAMACION ORIENTADA A OBJETOS'
'L41086','REDES NEURONALES'
'L41087','ROBOTICA AVANZADA'
'L41044','SEGURIDAD EN REDES'
'L41081','SERVICIOS DE INTERNET'
'L41037','SISTEMAS DIGITALES'
'L41071','SISTEMAS GESTORES DE BASES DE DATOS'
'L41049','SISTEMAS OPERATIVOS'
'L41007','TEORIA DE SISTEMAS'
'L41050','TIPOS DE SISTEMAS OPERATIVOS'
'L41079','TIPOS Y CONFIGURACIONES'

